parent,child,parents,full
Italian Restaurant,South Tyrolean Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|South Tyrolean Restaurant
Italian Restaurant,Ligurian Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Ligurian Restaurant
Italian Restaurant,Abruzzo Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Abruzzo Restaurant
Italian Restaurant,Campanian Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Campanian Restaurant
Italian Restaurant,Basilicata Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Basilicata Restaurant
Italian Restaurant,Trattoria/Osteria,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Trattoria/Osteria
Italian Restaurant,Roman Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Roman Restaurant
Italian Restaurant,Calabria Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Calabria Restaurant
Italian Restaurant,Puglia Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Puglia Restaurant
Italian Restaurant,Trentino Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Trentino Restaurant
Italian Restaurant,Romagna Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Romagna Restaurant
Italian Restaurant,Molise Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Molise Restaurant
Italian Restaurant,Lombard Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Lombard Restaurant
Italian Restaurant,Sicilian Restaurant,root|Food|Italian Restaurant,root|Food|Italian Restaurant|Sicilian Restaurant
Food,Theme Restaurant,root|Food,root|Food|Theme Restaurant
Food,Bistro,root|Food,root|Food|Bistro
Food,French Restaurant,root|Food,root|Food|French Restaurant
French Restaurant,Southwestern French Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Southwestern French Restaurant
French Restaurant,Alsatian Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Alsatian Restaurant
French Restaurant,Catalan Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Catalan Restaurant
French Restaurant,Basque Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Basque Restaurant
French Restaurant,Savoyard Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Savoyard Restaurant
French Restaurant,Provençal Restaurant,root|Food|French Restaurant,root|Food|French Restaurant|Provençal Restaurant
